,link,region,rating,ratingCount,lat,lon
2773' 353'P,http://www.wta.org/go-hiking/hikes/2773-353p,Central Cascades,0.0,0,,
Aasgard Pass,http://www.wta.org/go-hiking/hikes/aasgard-pass,Central Cascades -- Leavenworth Area,3.5,2,47.5279,-120.8207
Abercrombie Mountain Trail,http://www.wta.org/go-hiking/hikes/abercrombie,Eastern Washington -- Selkirk Range,2.5,6,48.90600000000001,-117.5208
Abernathy Pass via Cedar Creek,http://www.wta.org/go-hiking/hikes/abernathy-pass,North Cascades -- North Cascades Highway - Hwy 20,3.75,8,48.5792,-120.4787
Abernathy Peak,http://www.wta.org/go-hiking/hikes/abernathy-peak,North Cascades -- Methow/Sawtooth,0.0,0,48.4352,-120.5195
Abiel Peak,http://www.wta.org/go-hiking/hikes/abiel-peak,Snoqualmie Region -- Snoqualmie Pass,0.0,0,47.3528,-121.4703
Adams Creek Meadows,http://www.wta.org/go-hiking/hikes/adams-creek-meadows,South Cascades -- Mount Adams Area,3.78,9,46.2884,-121.5528
Adventure Trail,http://www.wta.org/go-hiking/hikes/adventure,Issaquah Alps -- Tiger Mountain,2.17,6,47.5264,-122.0085
Agnes Gorge,http://www.wta.org/go-hiking/hikes/agnes-gorge,Central Cascades -- Entiat Mountains/Lake Chelan,3.0,5,48.3807,-120.8403
Ala Spit,http://www.wta.org/go-hiking/hikes/ala-spit,Puget Sound and Islands -- Whidbey Island,4.0,1,48.3987,-122.5865
Alaska Lake Snowshoe,http://www.wta.org/go-hiking/hikes/alaska-lake-snowshoe,Snoqualmie Region -- Snoqualmie Pass,3.33,3,47.4017,-121.3736
Aldrich Butte,http://www.wta.org/go-hiking/hikes/aldrich-butte,Southwest Washington -- Columbia River Gorge - WA,0.0,0,45.6553,-121.9591
Alger Alp (South Route),http://www.wta.org/go-hiking/hikes/alger-alp-south-route,Puget Sound and Islands -- Bellingham Area,2.5,4,48.62,-122.34
Alki Crest,http://www.wta.org/go-hiking/hikes/alki-crest,Mount Rainier Area -- NW - Carbon River/Mowich,2.5,2,46.9819,-121.9421
Alpine Lookout,http://www.wta.org/go-hiking/hikes/alpine-lakes-high-route,Central Cascades -- Stevens Pass - East,3.33,6,47.7923,-120.7944
Alta Lake State Park,http://www.wta.org/go-hiking/hikes/alta-lake-state-park,North Cascades -- Methow/Sawtooth,0.0,0,48.0294,-119.9358
Alta Mountain,http://www.wta.org/go-hiking/hikes/alta-mountain,Snoqualmie Region -- Snoqualmie Pass,4.64,11,47.398,-121.2843
Alta Mountain Tarns,http://www.wta.org/go-hiking/hikes/alta-mountain-tarns-via-mineral-creek-trail,Snoqualmie Region -- Snoqualmie Pass,5.0,1,,
Alta Vista Loop,http://www.wta.org/go-hiking/hikes/alta-vista-loop,Mount Rainier Area,2.75,4,46.786,-121.735
Amabilis Mountain Snowshoe,http://www.wta.org/go-hiking/hikes/amabilis-mt,Snoqualmie Region -- Snoqualmie Pass,3.0,3,47.2965,-121.2889
Amber Lake,http://www.wta.org/go-hiking/hikes/columbia-plateau-amber-lake,Eastern Washington -- Spokane Area/Coeur d'Alene,2.25,4,47.3512,-117.7106
American Lake,http://www.wta.org/go-hiking/hikes/american-lake,Mount Rainier Area -- Chinook Pass - Hwy 410,3.22,9,46.8694,-121.5196
Ames Lake Forest,http://www.wta.org/go-hiking/hikes/ames-lake-forest,Snoqualmie Region -- North Bend Area,0.0,0,47.6455,-121.9548
Anaconda Peak,http://www.wta.org/go-hiking/hikes/anaconda-peak,North Cascades -- Mountain Loop Highway,0.0,0,48.0728,-121.6547
Ancient Groves,http://www.wta.org/go-hiking/hikes/ancient-groves,Olympic Peninsula -- Northern Coast,4.67,3,47.9982,-123.9021
Ancient Lakes,http://www.wta.org/go-hiking/hikes/ancient-lakes,Central Washington -- Wenatchee,3.94,31,47.1614,-119.9811
Anderson Butte,http://www.wta.org/go-hiking/hikes/anderson-butte,North Cascades -- North Cascades Highway - Hwy 20,3.29,7,48.675,-121.6214
Anderson Lake State Park,http://www.wta.org/go-hiking/hikes/anderson-lake-state-park,Olympic Peninsula -- Hood Canal,0.0,0,48.0179,-122.8039
Anderson and Watson Lakes,http://www.wta.org/go-hiking/hikes/anderson-and-watson-lakes,North Cascades -- Mount Baker Area,4.2,10,48.6747,-121.6017
Angel's Rest,http://www.wta.org/go-hiking/hikes/angels-rest,Southwest Washington -- Columbia River Gorge - OR,0.0,0,45.5602,-122.1727
Angel's Rest-Devil's Rest Loop,http://www.wta.org/go-hiking/hikes/angels-rest-devils-rest,Southwest Washington -- Columbia River Gorge - OR,0.0,0,45.5603,-122.1726
Angry Mountain,http://www.wta.org/go-hiking/hikes/angry-mountain,South Cascades -- Mount Adams Area,2.6,5,46.5184,-121.5944
Annette Lake,http://www.wta.org/go-hiking/hikes/annette-lake,Snoqualmie Region -- Snoqualmie Pass,3.58,89,47.3927,-121.4744
Anti-Aircraft Peak,http://www.wta.org/go-hiking/hikes/anti-aircraft-peak,Issaquah Alps -- Cougar Mountain,3.0,8,47.5411,-122.096
Antoine Peak - Robbins Road Snowshoe Loop,http://www.wta.org/go-hiking/hikes/antoine-peak-robbins-road-loop,Eastern Washington -- Spokane Area/Coeur d'Alene,0.0,0,47.7214,-117.1817
Antoine Peak Conservation Area,http://www.wta.org/go-hiking/hikes/antoine-peak-conservation-area,Eastern Washington -- Spokane Area/Coeur d'Alene,5.0,1,47.7168,-117.1962
Antoine Peak Conservation Area - Summit Loop,http://www.wta.org/go-hiking/hikes/antoine-peak-conservation-area-summit-loop,Eastern Washington -- Spokane Area/Coeur d'Alene,0.0,0,47.7188,-117.1967
Ape Canyon,http://www.wta.org/go-hiking/hikes/ape-canyon,South Cascades -- Mount St. Helens,2.8,5,46.1647,-122.0921
Ape Caves,http://www.wta.org/go-hiking/hikes/ape-cave,South Cascades -- Mount St. Helens,4.44,36,46.1083,-122.2114
Apple Capital Recreation Loop Trail,http://www.wta.org/go-hiking/hikes/apple-capital-recreation-loop-trail,Central Washington -- Wenatchee,0.0,0,,
Appleton Pass,http://www.wta.org/go-hiking/hikes/appleton-pass,Olympic Peninsula -- Northern Coast,3.4,5,47.9868,-123.6519
Arch Rock,http://www.wta.org/go-hiking/hikes/arch-rock,Mount Rainier Area -- Chinook Pass - Hwy 410,4.6,5,47.093,-121.4049
Ardmore Park Trails,http://www.wta.org/go-hiking/hikes/ardmore-trails,Puget Sound and Islands -- Seattle-Tacoma Area,0.0,0,47.6371,-122.1148
Around the Lake Trail,http://www.wta.org/go-hiking/hikes/around-the-lake,Issaquah Alps -- Tiger Mountain,3.4,5,47.5299,-121.9962
Artesian & Black Lake,http://www.wta.org/go-hiking/hikes/artesian-black-lake,Central Washington -- Grand Coulee,0.0,0,,
Artist Point Snowshoe,http://www.wta.org/go-hiking/hikes/artist-point-snowshoe,North Cascades -- Mount Baker Area,4.0,8,48.8467,-121.691
Artist Ridge - Huntoon Point,http://www.wta.org/go-hiking/hikes/artist-ridge,North Cascades -- Mount Baker Area,3.29,7,48.8467,-121.691
Asahel Curtis Nature Trail,http://www.wta.org/go-hiking/hikes/asahel-curtis,Snoqualmie Region -- Snoqualmie Pass,2.5,6,47.3927,-121.4744
Ashland Lakes,http://www.wta.org/go-hiking/hikes/ashland-lakes,North Cascades -- Mountain Loop Highway,3.17,12,48.0477,-121.7142
Ashnola River,http://www.wta.org/go-hiking/hikes/ashnola-river,North Cascades,0.0,0,,
Augspurger Mountain - North,http://www.wta.org/go-hiking/hikes/augspurger-mountain-north,Southwest Washington -- Columbia River Gorge - WA,3.0,1,45.772,-121.6711
Augspurger Trail,http://www.wta.org/go-hiking/hikes/augspurger-trail,Southwest Washington -- Columbia River Gorge - WA,2.33,3,45.6991,-121.7062
Aurora Creek,http://www.wta.org/go-hiking/hikes/aurora-creek,Olympic Peninsula -- Northern Coast,3.0,4,48.0536,-123.9893
Avalanche Mountain,http://www.wta.org/go-hiking/hikes/avalanche-mountain,Snoqualmie Region -- Snoqualmie Pass,0.0,0,47.457,-121.4445
Axis Peak,http://www.wta.org/go-hiking/hikes/axis-peak-7550,Mount Rainier Area,5.0,1,,
Backbone Ridge,http://www.wta.org/go-hiking/hikes/backbone-ridge,South Cascades,2.5,6,,
Badger Mountain,http://www.wta.org/go-hiking/hikes/badger-mountain-1,Central Washington -- Tri-Cities,4.0,7,46.2367,-119.2976
Badger Mountain - The Langdon Trail,http://www.wta.org/go-hiking/hikes/badger-mountain-trail-4,Central Washington -- Tri-Cities,0.0,0,46.2423,-119.3457
Badger Peak,http://www.wta.org/go-hiking/hikes/badger-peak,South Cascades -- Dark Divide,2.2,5,46.2951,-121.8889
Bagley Lakes,http://www.wta.org/go-hiking/hikes/bagley-lakes,North Cascades -- Mount Baker Area,3.2,10,48.8632,-121.6793
Bailey Range Traverse,http://www.wta.org/go-hiking/hikes/bailey-range,Olympic Peninsula,5.0,1,47.8512,-123.586
Baker Lake - Horseshoe Cove Snowshoe,http://www.wta.org/go-hiking/hikes/baker-lake-horseshoe-cove,North Cascades -- Mount Baker Area,0.0,0,48.6786,-121.7103
Baker Lake - Maple Grove,http://www.wta.org/go-hiking/hikes/baker-lake-maple-grove,North Cascades -- Mount Baker Area,4.0,2,48.6456,-121.6746
Baker Preserve,http://www.wta.org/go-hiking/hikes/baker-preserve,Puget Sound and Islands -- Bellingham Area,4.0,1,48.6948,-122.6626
Baker River,http://www.wta.org/go-hiking/hikes/baker-river,North Cascades -- Mount Baker Area,4.0,8,48.7507,-121.556
Baldy Mountain,http://www.wta.org/go-hiking/hikes/baldy-mountain,Central Cascades -- Entiat Mountains/Lake Chelan,0.0,0,47.8204,-120.311
Balfour Klickitat Day Use Area,http://www.wta.org/go-hiking/hikes/balfour-klickitat-day-use-area,Southwest Washington -- Columbia River Gorge - WA,0.0,0,,
Bandera Mountain,http://www.wta.org/go-hiking/hikes/bandera-mountain,Snoqualmie Region -- North Bend Area,4.24,58,47.4247,-121.5836
Banner Forest,http://www.wta.org/go-hiking/hikes/banner-forest,Olympic Peninsula -- Kitsap Peninsula,0.0,0,47.4893,-122.5457
Barclay Lake,http://www.wta.org/go-hiking/hikes/barclay-lake,Central Cascades -- Stevens Pass - West,3.89,44,47.7917,-121.4559
Bare Mountain,http://www.wta.org/go-hiking/hikes/bare-mountain,Snoqualmie Region -- North Bend Area,3.93,14,47.6395,-121.5283
Barlow Point,http://www.wta.org/go-hiking/hikes/barlow-point,North Cascades -- Mountain Loop Highway,3.22,9,48.0305,-121.4429
Barnes Creek,http://www.wta.org/go-hiking/hikes/barnes-creek,Olympic Peninsula -- Northern Coast,3.0,5,48.0578,-123.7884
Bathtub Lakes,http://www.wta.org/go-hiking/hikes/bathtub-lakes,North Cascades -- Mountain Loop Highway,0.0,0,,
Bay to Baker Trail,http://www.wta.org/go-hiking/hikes/bay-to-baker-trail,North Cascades -- Mount Baker Area,3.0,2,,
Beacon Rock,http://www.wta.org/go-hiking/hikes/beacon-rock,Southwest Washington -- Columbia River Gorge - WA,2.92,12,45.6291,-122.0219
Bead Lake,http://www.wta.org/go-hiking/hikes/bead-lake,Eastern Washington -- Selkirk Range,2.75,4,48.2897,-117.1075
Bean Creek Basin,http://www.wta.org/go-hiking/hikes/bean-creek,Snoqualmie Region -- Salmon La Sac/Teanaway,3.0,14,47.3888,-120.8723
Bear Canyon,http://www.wta.org/go-hiking/hikes/bear-canyon,Central Washington -- Yakima,3.4,5,46.7064,-120.8905
Bear Creek Mountain,http://www.wta.org/go-hiking/hikes/bear-creek-mountain,South Cascades -- White Pass/Cowlitz River Valley,3.22,9,46.5768,-121.3582
Bear Lake,http://www.wta.org/go-hiking/hikes/bear-lake-4,South Cascades -- Mount Adams Area,0.0,0,,
Bear Lake Snowshoe,http://www.wta.org/go-hiking/hikes/bear-lake-snowshoe,North Cascades -- Mountain Loop Highway,2.5,2,,
Bear Ridge,http://www.wta.org/go-hiking/hikes/bear-ridge,Issaquah Alps -- Cougar Mountain,2.5,4,47.5269,-122.0641
Bearhead Mountain,http://www.wta.org/go-hiking/hikes/bearhead,Mount Rainier Area -- Chinook Pass - Hwy 410,3.29,7,47.0314,-121.8257
Bearscout Peak,http://www.wta.org/go-hiking/hikes/bearscout-peak,Snoqualmie Region -- Snoqualmie Pass,0.0,0,47.3326,-121.4845
Beaver Lake,http://www.wta.org/go-hiking/hikes/beaver-lake-1,North Cascades -- Mountain Loop Highway,3.14,7,48.1706,-121.4721
Beaver Lake Preserve,http://www.wta.org/go-hiking/hikes/beaver-lake-preserve,Issaquah Alps,2.6,5,47.5974,-121.9919
Beaver Loop,http://www.wta.org/go-hiking/hikes/beaver-loop,North Cascades -- Methow/Sawtooth,0.0,0,48.7302,-120.7806
Beaver Pass,http://www.wta.org/go-hiking/hikes/beaver-pass,North Cascades -- North Cascades Highway - Hwy 20,1.0,1,,
Beaver Tail,http://www.wta.org/go-hiking/hikes/beaver-tail,Central Washington -- Yakima,0.0,0,46.8756,-120.5012
Beckler Peak,http://www.wta.org/go-hiking/hikes/beckler-peak,Central Cascades -- Stevens Pass - West,4.42,19,47.7268,-121.2655
Bedal Basin,http://www.wta.org/go-hiking/hikes/bedal-creek,North Cascades -- Mountain Loop Highway,2.0,6,48.0701,-121.3753
Bedal Peak,http://www.wta.org/go-hiking/hikes/bedal-peak,North Cascades -- Mountain Loop Highway,4.0,1,48.0701,-121.3753
Beebe Creek Wildlife Area,http://www.wta.org/go-hiking/hikes/beebe-creek-wildlife-area,Central Cascades -- Entiat Mountains/Lake Chelan,0.0,0,47.8194,-119.9731
